label,text,retweet_count
0,. can eating garlic help prevent infection with the new coronavirus? covid19malaysia . can regularly rinsing your nose with saline help prevent infection with the new coronavirus? . do vaccines against pneumonia protect you against the new coronavirus? . can spraying alcohol or chlorine all over your body kill the new coronavirus? chamber . how effective are thermal scanners in detecting people infected with the new coronavirus? . can an ultraviolet disinfection lamp kill the new coronavirus? . are hand dryers effective in killing the new coronavirus? . the new coronavirus cannot be transmitted through mosquito bites. . taking a hot bath does not prevent the new coronavirus disease . cold weather and snow cannot kill the new coronavirus. . covid-19 virus can be transmitted in areas with hot and humid climates . drinking alcohol does not protect you against covid-19 and can be dangerous . being able to hold your breath for seconds or more without coughing or feeling discomfort does not mean you are free from the coronavirus disease (covid-19) or any other lung disease. . you can recover from the coronavirus disease (covid-19). catching the new coronavirus does not mean you will have it for life. . exposing yourself to the sun or to temperatures higher than c degrees does not prevent the coronavirus disease (covid-19) . g mobile networks do not spread covid-19,0
1,"french police chief killed himself after charliehebdo attack how very sad. the trauma he must have faced. very sad.: french police chief killed himself after charliehebdo attack rip. terrible! it stinks !!! these whole affaire!!! such a sad loss may he now rip so horrible.fwiw, his nd in command comitted suicide in , &amp; he found the body. so, there's that. what ya wanna bet he was killed??????????,only those cartoonists are responsible, those were sent to hell,by humiliating norms of islam and blasphemy of pbuh of islam. why are you reporting this three days after it happened? they killed him how can he kill himself? was shot in the forehead! so taht he doesnt get who's behind it took it kinda personal i guess, sadohh boy,here v go pakistanis already calling it false flag by eivil jews mt""::charliehebdo "": french police chief killed himself after charliehebdo attack wtf? and tasked with investigating charlie hebdo shooting. but 'obviously' just a strange coincidence. not like he discovered anything don't worry...it's all another weird coincidence. no conspiracy here. horrible!!! needless. did dubya kill himself after /11 or just go brain-dead... why? we will be very satisfied if nawazsharif resigns. here they hide the reports which blames them. . nothing to see here. move along.devastating. rt : french police chief killed himself after charliehebdo attack oh no... yeh sure he did...",185
0,"coronavirus disease (covid-19) advice for the public: should i wear a mask to protect myself? how to put on, use, take off and dispose of a mask? when and how to use masks? control for suspected or confirmed covid-19 cases who recommendations: cdc recommendations personal protective equipment (ppe) n95 respirators and surgical masks (face masks) surgical mask vs n95 respirator",1
0,"ottawa police confirm that there were multiple suspects in the shooting, saying there were ""possibly "" shooters. killers go berserk when cornered. henceforth, no lapses in security should be there. terrorists in ottawa hahaha, you said far more than you think i hope this isn't just a prelude to a bigger attack. when canadians of all people start shooting, well, ""c'est la fin du monde, non?""",123
0,"if the primary focus of a government isn't to alleviate suffering/death and promote happiness/wellbeing for its citizens, why do we need it to begin with?",1
0,. are hand dryers effective in killing the new coronavirus? . drinking alcohol does not protect you against covid-19 and can be dangerous . being able to hold your breath for seconds or more without coughing or feeling discomfort does not mean you are free from the coronavirus disease (covid-19) or any other lung disease. . you can recover from the coronavirus disease (covid-19). catching the new coronavirus does not mean you will have it for life. . exposing yourself to the sun or to temperatures higher than c degrees does not prevent the coronavirus disease (covid-19) . g mobile networks do not spread covid-19,0
0,"does the new coronavirus affect older people, or are younger people also susceptible? covid_19 health vaccines against pneumonia protect you against the new coronavirus? covid_19 corona there any specific medicines to prevent or treat the new coronavirus? covid_19 coronavirus",0
0,"q: are antibiotics effective in preventing and treating the new coronavirus (2019-ncov)? a: no, antibiotics do not work against viruses, only bacteria. the -nc0v is a virus and, therefore, antibiotics should not be used as a means of prevention or treatment. q: chinese doctors said, we will use hiv drug to treat this virus firstly ! does this useful ? or just trial and error in chinese treatment methodology ?",302
1,"a memorial for mh17 victims forms near the netherlands embassy in kiev: (roman pilipey/epa) putin thinks he was the target, and the ukies shot down the wrong plane. msnbc ge $ge rip ? really sad tragic loss u folks didn't deserve this level of tragedy.i'd like offer my condolences to families of the victims",155
0,prime minister tony abbott's statement on the sydneysiege. updates: prime ministers should not have to comment on everything.: prime minister tony abbott's statement on the sydneysiege. updates:,138
1,"plumber suing car dealership for $1m after truck he traded in ends up in hands of isis: lol too funny!!! damn this so bad hell with that car dealership i don't understand people they need to call the name on the side of the truck and threaten them. is there no common sense makes u wonder who the dealership got the loot from...hum?? will us/nato stop free flow of materiel from turkey into sirya? or will this add to the belief daesh serves western interests there? he used it for those tough clogs because a lot of the wholesale dealers are arabic and the send them back to the middle east. deck, does that mean the coca cola lorry could soon be seen with missile launchers? or maybe macdonalds all day breakfast truck",157
1,"a penis spray-painted on a $2.5 million bugatti was just for a prank video. : bugatti veyron gold digger surprise prank!! savedyouaclick that is horrible! i would definitely try to find out who did that and press charges! way to nice of a vehicle! yeah but the prick in the driver's seat is totally real. spray can: usd cleaning: used social media reach: priceless : a penis spray-painted on a $2.5 million bugatti was just for a prank video. ""scum... sub human scum"" boo: a penis spray-painted on a $2.5 million bugatti was just for a prank video. ;: a penis spray-painted on a $2.5 million bugatti was just for a prank video. : a penis spray-painted on a $2.5 million bugatti was just for a prank video. : a penis spray-painted on a $2.5 million bugatti was just for a prank video.",109
1,translucent butterfly - beautiful! ',243
0,"a pregnant woman has lost her eye after being shot with bean bag by police in ferguson: but did she die ? pharrinxchange pharrinxchangeboyz shattermirror that's dumb, it's like you're pregnant. wtf are you doing out and about while riots are going on lol i don't know why he drove toward them. shooting the tires &amp;not gas tank would've been the better course of action god bless them tragic you should ban this shit. in spain several people have lost their eyes or even die because of that those effing bastards how awful police are out of control.they kkknow they wont be arrested so they attackkk and kkkill without thinking : vito a m, why for ? fred sanford ""you big dummy "" victim blaming? lmao stay inside the question is why can the police get away with anything??? she shouldn't of been out there protesting. why would you be outside in a hostile environment priorities f***** up poor girl, how people can be so bad!? may she get better hey im pregnant and i know riots aren't safe. i'm still going tho. shouldn't of been rioting/looting wow smh maybe don't go to a violent protest if you're pregnant? i guess that's progress. they didn't kill them! pig bastards that's fucked up mother fucking police. land of the free more land of the nazi. obama listen to your people im betting that she regrets being amidst the chaos. bad choices.... what difference does it make dip shirt... petty shouldnt have been in the riot thentw : a pregnant woman has lost her eye after being shot with bean bag by police in ferguson: and why is a pregnant woman at a riot where people are firebombing buildings and looting? any ideot that gord to a roit pregnet, enuff said, whers the dcf , save that child from that dope !!! stop blaming the victim. classactionlawsuitagainstthepolice jesus...that's a on the derpitude scale! so she didn't have enough sense to not go to a place of conflict while she was pregnant? child endangerment methinks. how about child endangerment for knowingly attending a potential volatile even while pregnant!!! so it's her fault she exercised her nd amendment right? she has left probably shouldn't have been there to riot why were they there in the first place?? pregnant riding around lol lame. poor thing stay with your kids. boyfriend??? we pray the sister recovers fast! i'm thinkn this is possibly fake maybe she shouldn't have been in the middle of the riot! i sure don't feel sorry for her! why is a pregnant women in a riot in ferguson??? mixtape] big freeze &amp; g nice - no sleep gang (reloaded) dmv annapolis maryland nosleepgang maybe you should stay home with your baby instead of driving at cops in a riot smh police suck! criminals with a badge that's why everyone tries to come to america? this is some sad shit, when is it going to end!!! you guys are known for making people sad &amp; angry! you need to get beheaded moron don't wanna lose an eyeball?? stayhome putbabyfirst badmommy yep she was shot with a bean bag round when her ex con boyfriend tried to run down police officers with his car. sad police brutality at its best. so what, she is just another black girl,who cares about blacks in usa.to white's, blacks were slaves and still are.shm how can you have a protest if you leave when someone tells you?",1245
0,"hi everything!! ok, hi everyone! jadi, berikut merupakan sedikit informasi untuk mengetahui what is covid-19? seperti yang kita tahu, ini merupakan virus yang paling baru d temukan,dan saat ini kita tengah di masa pandemi. don't underestimate it! lets read here, do/does and don't/doesn't healthy everyone!! iya emang terasa bosan dan jenuh, tapi bersyukurlah di masa ini, kita masi bisa berkumpul dengan keluarga yang di rumah aja! kalo kata dokter nahla ""untuk yg bs d rmh, d rmh aja, untuk yang belum bisa, tetap jaga jarak minimal meter, jgn lpa cuci tgan""",0
